"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"AL","ALABAMA","0100210","Auburn City","01254","Ogletree Elementary School","010021001254","No","DD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100210","Auburn City","01259","Margaret Yarbrough Elementary School","010021001259","No","DD",0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,4,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0
"AL","ALABAMA","0100210","Auburn City","01879","Richland Elementary School","010021001879","No","DD",0,1,4,0,1,0,4,0,0,1,0,1,0,3,15,0,10,0,5,0,0,0,4,1,5,0,0,0,0,0,0,3,2,0,0
"AL","ALABAMA","0100210","Auburn City","02363","Pick Elementary School","010021002363","No","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100240","Autauga County","00045","Billingsley High School","010024000045","No","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AL","ALABAMA","0100240","Autauga County","00047","Prattville Elementary School","010024000047","No","DD",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AL","ALABAMA","0100240","Autauga County","00051","Prattville Primary School","010024000051","No","DD",0,0,3,1,0,0,4,0,0,1,0,0,0,2,11,0,8,0,3,0,0,0,1,0,7,0,0,0,0,0,1,2,0,0,0
"AL","ALABAMA","0100240","Autauga County","00543","Pine Level Elementary School","010024000543","No","DD",0,0,0,0,0,0,3,0,0,1,0,0,0,2,6,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0
"AL","ALABAMA","0100240","Autauga County","00546","Daniel Pratt Elementary School","010024000546","No","DD",0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"AL","ALABAMA","0100240","Autauga County","01408","Autaugaville School","010024001408","No","DD",0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","00058","Elsanor School","010027000058","No","DD",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","00062","Perdido Elementary School","010027000062","No","DD",0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"AL","ALABAMA","0100270","Baldwin County","00065","Rosinton School","010027000065","No","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
