"LEA_STATE","LEA_STATE_NAME","NCESLEAID","LEA_NAME","SCHID","SCHOOL_NAME","NCESSCH","JJ","DISABILITY_CATEGORY","AM_M_7","AS_M_7","BL_M_7","HI_M_7","MU_M_7","PI_M_7","WH_M_7","AM_F_7","AS_F_7","BL_F_7","HI_F_7","MU_F_7","PI_F_7","WH_F_7","TOTAL_STUDENTS_REPORTED","LEP_M","NLEP_M","LEP_F","NLEP_F","CF_M","HH_M","PPPS_M","RC39_M","RC79TO40_M","RC80_M","RF_M","SS_M","CF_F","HH_F","PPPS_F","RC39_F","RC79TO40_F","RC80_F","RF_F","SS_F"
"IN","INDIANA","1811400","Tipton Community School Corp","01843","Tipton High School","181140000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811430","Tri-County School Corporation","01846","Tri-County Jr/Sr High School","181143000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811460","Tri-Creek School Corporation","01851","Lowell Middle School","181146000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1811460","Tri-Creek School Corporation","01852","Lowell Senior High School","181146000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1811610","Union Co/Clg Corner Joint Sch Dist","01869","Union County High School","181161000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1811700","Union Township School Corp","01872","Union Center Elementary School","181170000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IN","INDIANA","1811910","Union-North United School Corp","01879","LaVille Jr-Sr High School","181191000000","No","VI",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1811970","Valparaiso Community Schools","00163","Flint Lake Elementary School","181197000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"IN","INDIANA","1811970","Valparaiso Community Schools","01889","Thomas Jefferson Elementary School","181197000000","No","VI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1811970","Valparaiso Community Schools","01890","Thomas Jefferson Middle School","181197000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"IN","INDIANA","1811970","Valparaiso Community Schools","01891","Valparaiso High School","181197000000","No","VI",0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
"IN","INDIANA","1812060","Crothersville Community Schools","01892","Crothersville Elementary School","181206000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1812060","Crothersville Community Schools","01893","Crothersville Jr-Sr High School","181206000000","No","VI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1812090","Vigo County School Corp","01895","Blanche E Fuqua Elementary School","181209000000","No","VI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"IN","INDIANA","1812090","Vigo County School Corp","01901","Davis Park Elementary School","181209000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"IN","INDIANA","1812090","Vigo County School Corp","01909","Lost Creek Elementary School","181209000000","No","VI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
