OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,ShapeSTArea,ShapeSTLength
338,48,029,191406,48029191406,1914.06,Census Tract,G5020,S,4726464,0,+29.5981134,-098.5200082,"Census Tract 1914.06, Bexar County, Texas",6328,5155,4613,106,27,203,4,202,1173,1136,16,31,89,6,969,2,3,0,3,1,0,2,4,10,0,37,0,0,0,8,5,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50862192.8144531,32486.9784427266
339,48,029,191408,48029191408,1914.08,Census Tract,G5020,S,725759,0,+29.5497217,-098.5149787,"Census Tract 1914.08, Bexar County, Texas",3014,2146,1190,339,57,116,4,440,868,838,41,35,25,4,687,2,1,0,21,1,0,15,5,1,0,27,2,5,1,3,1,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7809945.24804688,11921.5560415758
340,48,029,191409,48029191409,1914.09,Census Tract,G5020,S,1605445,0,+29.5431098,-098.5208733,"Census Tract 1914.09, Bexar County, Texas",6243,4542,2558,610,77,314,19,964,1701,1654,84,44,33,6,1403,17,6,0,35,0,0,13,8,0,5,42,5,2,0,9,0,0,21,3,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,17276309.1386719,16468.4823630585
341,48,029,191410,48029191410,1914.10,Census Tract,G5020,S,1563333,0,+29.5551413,-098.5082307,"Census Tract 1914.10, Bexar County, Texas",5616,4158,2360,567,64,155,9,1003,1458,1399,62,44,46,1,1168,9,13,0,25,0,1,21,0,4,5,48,10,0,0,22,4,0,4,2,4,0,1,0,0,0,0,0,0,1,0,0,10,3,0,4,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16823153.7539062,17261.7642744833
342,48,029,191411,48029191411,1914.11,Census Tract,G5020,S,2000855,65209,+29.5672828,-098.5112864,"Census Tract 1914.11, Bexar County, Texas",4500,3448,2676,247,32,134,5,354,1052,1009,33,71,50,2,813,8,2,0,11,1,2,7,1,4,4,42,7,2,0,5,0,0,21,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22233109.9316406,22082.6768579012
343,48,029,191412,48029191412,1914.12,Census Tract,G5020,S,2043415,0,+29.5918428,-098.5368018,"Census Tract 1914.12, Bexar County, Texas",2271,1804,1584,31,7,115,2,65,467,434,7,21,13,2,383,1,0,0,2,0,0,1,1,0,3,32,0,1,0,7,0,0,18,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21989489.5078125,23216.9985929665
344,48,029,191413,48029191413,1914.13,Census Tract,G5020,S,3682387,6774,+29.5776779,-098.5225684,"Census Tract 1914.13, Bexar County, Texas",6185,4622,3778,244,36,190,5,369,1563,1490,55,75,55,0,1267,3,6,0,16,0,0,7,1,5,0,70,5,6,0,14,0,0,25,3,14,0,0,0,1,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39699485.4492188,29972.0561010094
345,48,029,191503,48029191503,1915.03,Census Tract,G5020,S,5624295,15325,+29.5745610,-098.5700983,"Census Tract 1915.03, Bexar County, Texas",5227,3971,3196,172,23,253,5,322,1256,1202,25,55,56,2,1025,0,3,0,18,0,0,5,9,4,0,51,2,0,1,10,0,0,16,0,19,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60688605.1972656,35724.464145065
346,48,029,191504,48029191504,1915.04,Census Tract,G5020,S,5140144,11744,+29.5821019,-098.5606146,"Census Tract 1915.04, Bexar County, Texas",2708,2188,1886,38,14,162,1,87,520,493,7,23,27,0,432,1,0,0,0,0,0,2,1,0,0,26,2,1,1,3,0,0,8,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55440102.5644531,34361.2755818612
347,48,029,191505,48029191505,1915.05,Census Tract,G5020,S,2430993,1480,+29.5528449,-098.5480146,"Census Tract 1915.05, Bexar County, Texas",2107,1532,1348,28,6,65,2,83,575,552,3,25,27,0,489,2,3,0,1,0,0,1,1,0,0,17,4,0,1,0,2,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,26176066.5625,22238.0525402252
