AZ,04,01600,Camp Verde Unified District,12383,1778,365
AZ,04,01650,Canon Elementary District,3157,333,105
AZ,04,01680,Cartwright Elementary District,126420,21955,7607
AZ,04,01710,Casa Grande Elementary District,69574,9275,1688
AZ,04,01740,Casa Grande Union High School District,99300,5472,913
AZ,04,01760,Catalina Foothills Unified District,32550,4587,256
AZ,04,00001,Cave Creek Unified District,63449,8954,665
AZ,04,01810,Cedar Unified District,7404,1578,598
AZ,04,01870,Chandler Unified District,249113,46953,4269
AZ,04,01920,Chevelon Butte School District,681,27,2
AZ,04,01940,Chinle Unified District,20227,4631,2242
AZ,04,00003,Chino Valley Unified District,23263,3424,602
AZ,04,00004,Clarkdale-Jerome Elementary District,4089,331,45
AZ,04,02130,Cochise Elementary District,249,31,7
AZ,04,00021,Colorado City Unified District,6348,2355,800
AZ,04,00082,Colorado River Union High School District,66620,2720,580
AZ,04,02190,Concho Elementary District,2481,277,97
AZ,04,02220,Congress Elementary District,2637,205,28
AZ,04,02250,Continental Elementary District,27170,677,61
AZ,04,02320,Coolidge Unified District,39472,8173,1294
AZ,04,02370,Cottonwood-Oak Creek Elementary District,31828,2910,602
AZ,04,02400,Crane Elementary District,45871,6523,1598
AZ,04,02430,Creighton Elementary District,74590,9753,3181
AZ,04,02460,Crown King Elementary District,188,14,3
AZ,04,07750,Deer Valley Unified District,269651,49507,4604
AZ,04,02490,Double Adobe Elementary District,458,81,29
AZ,04,02530,Douglas Unified District,20829,4206,1439
AZ,04,02600,Duncan Unified District,2973,556,101
AZ,04,02690,Dysart Unified District,184645,34432,4596
AZ,04,02710,Eagle Elementary District,40,2,0
AZ,04,02760,Elfrida Elementary District,1065,116,16
AZ,04,02790,Eloy Elementary District,7605,1093,312
AZ,04,02820,Empire Elementary District,464,69,16
AZ,04,02860,Flagstaff Unified District,95999,13151,2007
AZ,04,02920,Florence Unified School District,81226,13279,1467
AZ,04,03010,Flowing Wells Unified District,31302,5096,1373
AZ,04,03150,Fort Huachuca Accommodation District,5330,666,90
AZ,04,03200,Fort Thomas Unified District,5271,1374,429
AZ,04,03040,Fountain Hills Unified District,25966,2760,193
AZ,04,03060,Fowler Elementary District,33573,5789,1825
AZ,04,03080,Fredonia-Moccasin Unified District,2946,462,91
AZ,04,03240,Gadsden Elementary District,26790,4312,1409
AZ,04,03290,Ganado Unified District,7188,1537,719
AZ,04,03310,Gila Bend Unified District,2723,528,150
AZ,04,03400,Gilbert Unified District,208084,44559,3236
AZ,04,03420,Glendale Elementary District,110089,16357,5194
AZ,04,03450,Glendale Union High School District,364786,20388,4880
AZ,04,03500,Globe Unified District,10602,1636,441
AZ,04,03550,Grand Canyon Unified District,2751,201,28
AZ,04,03660,Hackberry School District,1251,100,24
AZ,04,03730,Hayden-Winkelman Unified District,1340,198,63
AZ,04,00026,Heber-Overgaard Unified District,4150,478,105
AZ,04,03780,Higley Unified District,73004,15981,1032
AZ,04,08460,Hillside Elementary District,139,22,3
AZ,04,03820,Holbrook Unified District,10683,2236,665
AZ,04,03870,Humboldt Unified District,55245,8230,1602
AZ,04,03900,Hyder Elementary District,779,108,19
AZ,04,03950,Indian Oasis-Baboquivari Unified District,7485,1616,698
AZ,04,03960,Isaac Elementary District,48637,8311,3349
AZ,04,03990,J. O. Combs Unified School District,39926,9045,877
AZ,04,04010,Joseph City Unified District,1816,416,115
AZ,04,04060,Kayenta Unified District,10619,2560,1094
AZ,04,00295,Kingman Unified School District,67675,8643,2123
AZ,04,04170,Kirkland Elementary District,1223,140,53
AZ,04,04200,Klondyke Elementary District,66,6,4
AZ,04,04230,Kyrene Elementary District,169934,19202,1464
AZ,04,04280,Lake Havasu Unified District,57477,6592,1272
AZ,04,04290,Laveen Elementary District,46178,7145,1420
AZ,04,04320,Liberty Elementary District,27019,4150,503
AZ,04,04380,Litchfield Elementary District,85852,11660,1076
AZ,04,04410,Littlefield Unified District,4065,580,93
AZ,04,04440,Littleton Elementary District,44092,6954,1213
AZ,04,04500,Madison Elementary District,62301,5401,730
AZ,04,04530,Maine Consolidated School District,1339,155,31
